ticker,signal_type,entry_date,exit_date,days_held,entry_price,exit_price,exit_reason,position_size,shares,entry_fee,exit_fee,total_fees,pnl,pnl_pct,r_multiple
BTC,Pullback,2025-01-14,2025-01-15,1,96534.05,99430.07,Target,1000.0,0.010307,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-01-15,2025-01-16,1,3450.54,3381.53,Stop,1000.0,0.288361,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2025-01-17,2025-01-18,1,104462.04,102372.8,Stop,1000.0,0.009525,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-01-23,2025-01-26,3,3334.71,3268.02,Stop,1000.0,0.298376,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-01-30,2025-01-31,1,3247.78,3345.21,Target,1000.0,0.306363,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-02-19,2025-02-24,5,96635.61,94702.9,Stop,1000.0,0.010296,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-02-20,2025-02-21,1,2740.39,2822.6,Target,1000.0,0.363087,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-03-02,2025-03-03,1,94248.35,92363.38,Stop,1000.0,0.010557,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-03-19,2025-03-20,1,2057.75,2016.59,Stop,1000.0,0.483538,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-03-23,2025-03-24,1,86054.38,88636.01,Target,1000.0,0.011562,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-03-23,2025-03-24,1,2005.3,2065.46,Target,1000.0,0.496185,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-04-01,2025-04-02,1,85169.17,87724.25,Target,1000.0,0.011683,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-04-04,2025-04-06,2,83843.8,82166.93,Stop,1000.0,0.011867,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-04-11,2025-04-13,2,83404.84,85906.98,Target,1000.0,0.01193,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-04-21,2025-04-22,1,87518.91,90144.47,Target,1000.0,0.011369,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-04-22,2025-04-23,1,1757.33,1810.05,Target,1000.0,0.566199,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-04-25,2025-05-02,7,94720.5,97562.12,Target,1000.0,0.010505,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-05-08,2025-05-12,4,103241.46,101176.63,Stop,1000.0,0.009638,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2025-05-08,2025-05-09,1,2206.51,2272.71,Target,1000.0,0.450937,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-05-10,2025-05-11,1,2582.42,2530.77,Stop,1000.0,0.385297,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2025-05-13,2025-05-14,1,2680.13,2626.53,Stop,1000.0,0.371251,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2025-05-21,2025-05-23,2,109678.08,107484.52,Stop,1000.0,0.009072,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-06-01,2025-06-05,4,105652.1,103539.06,Stop,1000.0,0.009418,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-06-02,2025-06-05,3,2607.1,2554.96,Stop,1000.0,0.38165,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-06-07,2025-06-09,2,105615.62,108784.09,Target,1000.0,0.009421,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-06-10,2025-06-11,1,2813.52,2757.25,Stop,1000.0,0.35365,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-06-13,2025-06-17,4,106090.97,103969.15,Stop,1000.0,0.009379,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-06-18,2025-06-20,2,104883.33,102785.66,Stop,1000.0,0.009487,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-06-23,2025-06-30,7,105577.77,108745.11,Target,1000.0,0.009424,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-06-29,2025-06-30,1,2500.96,2450.94,Stop,1000.0,0.397847,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2025-07-02,2025-07-04,2,2571.34,2519.91,Stop,1000.0,0.386958,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2025-07-09,2025-07-10,1,111326.55,114666.35,Target,1000.0,0.008938,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-07-09,2025-07-10,1,2770.78,2853.9,Target,1000.0,0.359105,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-07-11,2025-07-14,3,117516.99,121042.5,Target,1000.0,0.008467,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-07-15,2025-07-16,1,3139.89,3234.09,Target,1000.0,0.31689,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-07-17,2025-07-18,1,3476.78,3581.09,Target,1000.0,0.286184,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-07-20,2025-07-22,2,3759.47,3684.28,Stop,1000.0,0.264665,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-08-04,2025-08-05,1,3718.99,3644.61,Stop,1000.0,0.267546,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-08-06,2025-08-07,1,3683.92,3794.44,Target,1000.0,0.270093,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-08-07,2025-08-11,4,117496.9,121021.81,Target,1000.0,0.008468,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-08-08,2025-08-09,1,4009.85,4130.14,Target,1000.0,0.248139,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-08-12,2025-08-13,1,4590.92,4728.65,Target,1000.0,0.216732,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-08-13,2025-08-14,1,123344.06,120877.18,Stop,1000.0,0.008067,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-08-22,2025-08-23,1,116874.09,114536.6,Stop,1000.0,0.008513,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2025-08-22,2025-08-23,1,4831.35,4734.72,Stop,1000.0,0.205947,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-09-03,2025-09-04,1,4450.39,4361.38,Stop,1000.0,0.223576,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-09-07,2025-09-11,4,111167.62,114502.65,Target,1000.0,0.00895,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-09-11,2025-09-12,1,4461.23,4595.07,Target,1000.0,0.223032,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-09-24,2025-09-25,1,113328.63,111062.06,Stop,1000.0,0.00878,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-09-29,2025-10-01,2,114400.38,117832.39,Target,1000.0,0.008698,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-10-01,2025-10-02,1,4351.11,4481.65,Target,1000.0,0.228677,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2025-10-02,2025-10-05,3,120681.26,124301.7,Target,1000.0,0.008245,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-10-13,2025-10-14,1,4245.47,4160.56,Stop,1000.0,0.234368,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-10-26,2025-10-29,3,114472.45,112183.0,Stop,1000.0,0.008692,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-11-01,2025-11-03,2,110064.02,107862.74,Stop,1000.0,0.00904,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-11-02,2025-11-03,1,3911.06,3832.84,Stop,1000.0,0.254407,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-12-02,2025-12-05,3,91350.2,89523.2,Stop,1000.0,0.010892,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2025-12-02,2025-12-03,1,2997.94,3087.88,Target,1000.0,0.331895,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-12-07,2025-12-09,2,90405.64,93117.81,Target,1000.0,0.011006,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-12-09,2025-12-10,1,3321.11,3420.75,Target,1000.0,0.299598,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2025-12-13,2025-12-14,1,90298.71,88492.74,Stop,1000.0,0.011019,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-12-27,2026-01-02,6,87802.16,90436.22,Target,1000.0,0.011332,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2025-12-30,2026-01-02,3,2971.42,3060.56,Target,1000.0,0.334857,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-01-05,2026-01-06,1,93882.55,92004.9,Stop,1000.0,0.010598,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2026-01-05,2026-01-07,2,3226.13,3161.61,Stop,1000.0,0.308419,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2026-01-13,2026-01-19,6,95321.78,93415.35,Stop,1000.0,0.010438,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2026-01-13,2026-01-16,3,3322.1,3255.65,Stop,1000.0,0.29951,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-02-25,2026-02-26,1,67960.12,66600.92,Stop,1000.0,0.014641,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-02-28,2026-03-01,1,66995.86,65655.94,Stop,1000.0,0.014852,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-02-28,2026-03-01,1,1965.05,2024.0,Target,1000.0,0.506348,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-03-04,2026-03-05,1,72710.58,71256.37,Stop,1000.0,0.013684,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-03-09,2026-03-10,1,68402.38,70454.45,Target,1000.0,0.014546,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2026-03-09,2026-03-10,1,1992.94,2052.73,Target,1000.0,0.499263,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-03-16,2026-03-18,2,74861.09,73363.86,Stop,1000.0,0.013291,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2026-03-16,2026-03-17,1,2351.18,2304.15,Stop,1000.0,0.423192,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-03-20,2026-03-21,1,70522.59,69112.13,Stop,1000.0,0.014109,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-03-23,2026-03-24,1,70914.86,69496.56,Stop,1000.0,0.014031,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-03-31,2026-04-02,2,2104.71,2062.61,Stop,1000.0,0.47275,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-04-05,2026-04-07,2,68981.9,71051.36,Target,1000.0,0.014424,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2026-04-05,2026-04-06,1,2109.0,2172.27,Target,1000.0,0.471789,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2026-04-07,2026-04-08,1,2241.81,2196.97,Stop,1000.0,0.443838,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2026-04-13,2026-04-17,4,74484.64,76719.18,Target,1000.0,0.013358,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2026-04-13,2026-04-14,1,2370.71,2323.3,Stop,1000.0,0.419705,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2026-04-17,2026-04-18,1,2421.07,2372.65,Stop,1000.0,0.410975,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-05-02,2026-05-04,2,2316.23,2385.72,Target,1000.0,0.429577,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-05-04,2026-05-06,2,79827.91,82222.74,Target,1000.0,0.012464,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2026-05-05,2026-05-07,2,2361.18,2313.96,Stop,1000.0,0.421399,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-05-08,2026-05-10,2,2306.97,2376.18,Target,1000.0,0.431301,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2026-06-15,2026-06-17,2,66289.5,64963.71,Stop,1000.0,0.01501,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-06-15,2026-06-16,1,1794.96,1759.06,Stop,1000.0,0.55433,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-06-20,2026-06-23,3,64239.68,62954.88,Stop,1000.0,0.015489,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-06-20,2026-06-21,1,1739.3,1704.52,Stop,1000.0,0.572069,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-06-22,2026-06-23,1,1726.51,1691.98,Stop,1000.0,0.576307,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-07-02,2026-07-03,1,1698.17,1749.11,Target,1000.0,0.585925,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2026-07-03,2026-07-06,3,62544.2,64420.53,Target,1000.0,0.015909,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2026-07-14,2026-07-17,3,1889.48,1851.69,Stop,1000.0,0.5266,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2026-07-21,2026-07-23,2,66505.12,65175.02,Stop,1000.0,0.014961,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-07-25,2026-07-28,3,64311.81,63025.58,Stop,1000.0,0.015471,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-07-29,2026-07-31,2,63908.17,62630.0,Stop,1000.0,0.015569,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-08-02,2026-08-03,1,1882.52,1844.87,Stop,1000.0,0.528546,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-08-04,2026-08-11,7,64055.95,63551.88,MaxHold,1000.0,0.015533,5.0,4.94,9.94,-17.77,-1.78,-88.83
ETH,Pullback,2026-08-04,2026-08-07,3,1868.39,1924.44,Target,1000.0,0.532545,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2026-08-11,2026-08-18,7,1881.37,1916.46,MaxHold,1000.0,0.528869,5.0,5.07,10.07,8.49,0.85,42.44
BTC,Pullback,2026-08-17,2026-08-19,2,64506.25,66441.44,Target,1000.0,0.015425,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2026-08-19,2026-08-20,1,2251.46,2319.0,Target,1000.0,0.441936,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-08-20,2026-08-21,1,73032.76,75223.74,Target,1000.0,0.013624,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2026-08-21,2026-08-22,1,2515.28,2464.98,Stop,1000.0,0.395582,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-09-11,2026-09-13,2,2514.73,2464.44,Stop,1000.0,0.395668,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2026-09-14,2026-09-15,1,78163.38,76600.12,Stop,1000.0,0.01273,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2026-09-17,2026-09-18,1,2447.11,2520.52,Target,1000.0,0.406603,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2026-09-18,2026-09-21,3,80901.46,83328.5,Target,1000.0,0.012299,5.0,5.12,10.12,19.73,1.97,98.63
